Capitulo,Numero,Titulo,Descricao,Categorias

Capítulo 1: Aparência,Pensar 1-1,O mundo é constituído por aparências,"Arendt afirma que tudo o que existe no mundo aparece; existe para ser visto, ouvido e percebido. A condição de realidade está vinculada ao fato de algo poder ser percebido por criaturas sensíveis.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 1-2,Ser e aparecer coincidem para os seres vivos,"Diferentemente da matéria inorgânica, os seres vivos existem enquanto aparecem. A aparência não é um acréscimo, mas a própria forma de ser no mundo.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 1-3,Nada que aparece prescinde de um espectador,A existência de um mundo de aparências exige receptores: outros seres capazes de perceber. Não existe aparência sem quem a perceba; realidade e pluralidade são condições inseparáveis.,Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 1-4,Consciência individual não garante realidade,Arendt critica o cogito cartesiano: a autopercepção isolada não seria suficiente para garantir realidade; apenas o aparecer para outros garante objetividade.,Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 1-5,A diversidade das aparências deriva da variedade dos sentidos,"Os seres vivos possuem diferentes órgãos sensoriais. Isso produz múltiplos mundos perceptivos e, ao mesmo tempo, uma estrutura comum: todos aparecem e percebem.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 1-6,Viver é estar exposto ao ciclo aparecer–desaparecer,"A vida se define pelo surgimento e pelo perecimento. O intervalo entre nascimento e morte é marcado pelas aparências, que estruturam a experiência do tempo para cada ser vivo.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 1-7,O “parecer-a-mim” (dokei moi) fundamenta a experiência subjetiva,"Cada ser percebe de modo singular; o mundo é comum, mas a perspectiva sensorial varia. O parecer-a-mim é a forma subjetiva da aparição.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 1-8,O impulso de exibir-se é inerente ao vivo,"Aparecer não é apenas passivo: os seres vivos “fazem” sua aparência, como atores em um palco. Há uma tendência vital à autoexposição.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 1-9,O desenvolvimento vital é uma epifania,"Cada vida tem um movimento ascendente até sua plena manifestação (epifania), seguido de declínio e desaparecimento. O ciclo vital é descrito como um processo de aparecer e sumir.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 1-10,A atividade mental se distingue por retirar-se do mundo das aparências,"As atividades mentais exigem um afastamento das aparências; fechamos os olhos do corpo para abrir os “olhos da mente”. Ainda assim, permanecemos seres que aparecem e desaparecem.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 1-11,O problema filosófico central: como o pensamento aparece?,"Como pensar envolve o invisível — algo sem som e sem figura — surge a questão se essas atividades podem “aparecer”, e se têm lugar adequado no mundo.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 1-12,A distinção clássica entre ser verdadeiro e aparência,"Arendt introduz o problema metafísico: a filosofia tradicional separou “verdadeiro ser” de “mera aparência”, mas essa distinção nasce justamente da experiência do aparecer.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 1-13,A aparência é anterior à filosofia,O filósofo só pode abandonar o mundo das aparências porque já está nele. A própria noção de algo não-aparente surge da primazia da aparência.  ,Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 2-1,A dicotomia entre Ser e Aparência nasce da própria prioridade da aparência,"A filosofia clássica formulou a separação entre “verdadeiro ser” e “mera aparência”, mas essa distinção só é possível porque o mundo das aparências é anterior ao filósofo; ele parte do aparecer para buscar um fundamento invisível.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 2-2,A busca filosófica por um “fundamento” transforma a aparência em efeito,A tradição filosófica desloca a origem da aparência para um “causa” ou “fundamento” que não aparece. Esse movimento produz a hierarquia metafísica: o que não aparece vale mais do que o que aparece.,Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 2-3,O pensamento moderno desloca a investigação para dentro das aparências,"Com a ciência moderna, a busca do fundamento deixa de ser puramente filosófica. A ciência procura entender a estrutura interna do que aparece, investigando suas propriedades e mecanismos sem abandonar o domínio da aparência.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 2-4,Nem a filosofia nem a ciência conseguem abandonar completamente a aparência,"Tanto o filósofo quanto o cientista tentam ultrapassar a superfície dos fenômenos, mas retornam inevitavelmente ao mundo das aparências, pois toda evidência é aparência de algo.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 2-5,A aparência possui fundamentos próprios que também aparecem,"Arendt retoma Kant: toda aparência tem um fundamento que não é ela mesma, mas esse fundamento igualmente aparece. A busca por algo “absolutamente não-aparente” se mostra instável dentro da história da filosofia.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 2-6,O erro lógico central: tomar o fundamento como superior ao aparecer,"A tradição metafísica supõe que a causa, sendo invisível, deve ter status superior ao efeito que aparece. Essa suposição, segundo Arendt, é uma construção e não uma necessidade lógica.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 2-7,A ciência moderna reacende o problema ao revelar novas camadas da aparência,"A investigação científica amplia o domínio do que aparece, expondo dimensões antes invisíveis. Isso força a reconsideração da primazia do fundamento oculto, pois o “interior” revelado também é aparência.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 2-8,Nenhum ser humano vive apenas em fundamentos ou causas,"Mesmo descobrindo estruturas profundas por meio da ciência, não é possível viver num mundo reduzido a causas. A existência humana continua fundamentada no aparecer.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 2-9,A inversão da hierarquia metafísica: valorização da superfície,"O capítulo se dirige para a reversão histórica da hierarquia entre ser e aparência. A superfície — o que aparece — passa a ter valor epistemológico próprio, pois o desvelamento de uma ilusão sempre resulta em uma nova aparência, não em um “além da aparência”.   ",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 3-1,A inversão da hierarquia metafísica: o valor da superfície,"Arendt descreve como o senso comum e a ciência moderna desestabilizam a antiga hierarquia que valorizava o “interior”, o “essencial” e o “ser verdadeiro” acima da aparência. A superfície passa a ser entendida como lugar legítimo de evidência e significado.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 3-2,A des-ilusão como troca de uma aparência por outra,"Quando uma ilusão se desfaz, ela é substituída por uma nova aparência; não existe passagem para um plano “além” do aparecer. Toda evidência é sempre uma nova forma de aparecer, não um rompimento com o aparecer.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 3-3,A ciência moderna reforça o predomínio das aparências,"A investigação científica, buscando causas e estruturas internas, amplia ainda mais o domínio do que aparece. Ela não conduz a um mundo não aparente, mas revela níveis adicionais de aparência.",Estruturas da Aparência e do Mundo Comum
Capítulo 1: Aparência,Pensar 3-4,A crítica ao funcionalismo: aparência não é mero subproduto da vida orgânica,"Arendt utiliza os estudos de Adolf Portmann para mostrar que as aparências dos seres vivos não são simples efeitos funcionais do organismo interior; elas possuem organização própria, muitas vezes mais complexa e relevante do que o funcionamento interno.",Estruturas da Aparência e do Mundo Comum
